id,titulo,ano,duracao
1,Envolver,2022,180
2,Gods Plan,2018,198
3,Shake It Off,2014,242
4,Blinding Lights,2020,200
5,Hear Me Now,2016,190
6,Infiel,2016,210
7,Yellow,2000,270
8,Leal,2019,230
9,Cheguei,2017,205
10,Believer,2017,204
11,Circles,2019,215
12,Halo,2008,260
13,Perfect,2017,240
14,Hello,2015,295
15,HUMBLE,2017,177
16,Sicko Mode,2018,312
17,Uptown Funk,2014,270
18,Bad Guy,2019,194
19,7 Rings,2019,179
20,Stronger,2007,312
21,Evidencias,1990,240
22,Balada,2011,210
23,Deixa Acontecer,2003,220
24,Envolvidao,2018,200
25,Diario de um Detento,1997,330
26,Burguesinha,2007,215
27,Primavera,1970,260
28,Tempo Perdido,1986,300
29,Garota Nacional,1996,250
30,Minha Alma,1999,280
